,Name,Link,Cost,Amount,Running Total
" Drone Materials 
Aliexpress",RF Sender Reciever module 5 pcs,https://www.aliexpress.com/item/3256802274051205.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%206.41%21USD%206.41%21%21USD%206.22%21%21%21%402101f54117686943779132557e993b%2112000044580913851%21ct%21US%216035033871%21%211%210%21,$6.41,1,$6.41
,Gemfan 6030 6 inch 3 blade props,https://www.aliexpress.com/item/3256808035265141.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%204.00%21USD%204.00%21%21USD%203.88%21%21%21%402101f54117686943779132557e993b%2112000044283003377%21ct%21US%216035033871%21%211%210%21,$4.00,1,$10.41
,RC Micro FPV Camera 25MW,https://www.aliexpress.com/item/3256807064043534.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%2087.74%21USD%2028.08%21%21USD%2027.26%21%21%21%402101f54117686943779132557e993b%2112000039948782824%21ct%21US%216035033871%21%211%210%21,$28.08,1,$38.49
,14 AWG 5m Silicone WIre,https://www.aliexpress.com/item/3256809544733828.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%207.30%21USD%202.33%21%21USD%202.33%21%21%21%402101f54117686943779132557e993b%2112000049984364137%21ct%21US%216035033871%21%211%210%21,$6.13,1,$44.62
,ZONSATA M3 x 50pcs 10mm,https://www.aliexpress.com/item/2255800784679048.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%202.17%21USD%202.07%21%21USD%202.01%21%21%21%402101f54117686943779132557e993b%2110000013100836013%21ct%21US%216035033871%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,$2.07,1,$46.69
,BLS 4-IN-1 50A ,https://www.aliexpress.com/item/3256807398880158.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%2091.28%21USD%2027.28%21%21USD%2026.48%21%21%21%402101f54117686943779132557e993b%2112000041498194610%21ct%21US%216035033871%21%211%210%21,$27.28,1,$73.97
,2205-2CW-2CCW Brushless Motors,https://www.aliexpress.com/item/3256808766083848.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%2066.75%21USD%2031.37%21%21USD%2030.23%21%21%21%402101f54117686943779132557e993b%2112000047341139288%21ct%21US%216035033871%21%211%210%21,$31.37,1,$105.34
,5200mAH 3s 11.1V-XT60,https://www.aliexpress.com/item/3256809019290308.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%2033.09%21USD%2021.84%21%21USD%2020.78%21%21%21%402101f54117686943779132557e993b%2112000048293931832%21ct%21US%216035033871%21%211%210%21,$21.84,1,$127.18
,M4 10pc 30mm Set Screw,https://www.aliexpress.com/item/3256806981861193.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%204.08%21USD%202.83%21%21USD%202.75%21%21%21%402101f54117686943779132557e993b%2112000039681011526%21ct%21US%216035033871%21%211%210%21,$2.83,1,$130.01
,M3 20mm Gold Standoffs 10pcs,https://www.aliexpress.com/item/2251832761244270.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%204.23%21USD%203.26%21%21USD%203.17%21%21%21%402101f54117686943779132557e993b%2166202945434%21ct%21US%216035033871%21%211%210%21,$3.26,1,$133.27
,M3 Nuts,https://www.aliexpress.com/item/3256803593898214.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%203.62%21USD%202.14%21%21USD%202.08%21%21%21%402101f54117686943779132557e993b%2112000027143164250%21ct%21US%216035033871%21%211%210%21,$2.14,1,$135.41
,,,,,
,,,,,
"Remote 
Aliexpress",XY Joystick Module,https://www.aliexpress.com/item/3256806009673336.html?spm=a2g0o.cart.0.0.1e5638dakBnabK&mp=1&pdp_npi=6%40dis%21USD%21USD%203.49%21USD%201.18%21%21USD%201.14%21%21%21%402101f54117686943779132557e993b%2112000036234179320%21ct%21US%216035033871%21%212%210%21,$1.18,2,$137.77
,"Shipping Fees, Extra Fees, Promo Codes",,$32.00,1,$169.77
,,,,,
"PCB BOM 
(Some have to be bought
 in bulk to use)",C124379 Male Pin Headers,https://www.lcsc.com/product-detail/C124379.html?s_z=n_C18185764%2520,$0.05,2,$169.87
,C12624 Green Led,https://www.lcsc.com/product-detail/C12624.html?s_z=n_C18185764%25200,$0.01,20,$170.09
,C1779 Cap,https://www.lcsc.com/product-detail/C1779.html?s_z=n_C18185764%2520,$0.01,4,$170.14
,C160407 Connector,https://www.lcsc.com/product-detail/C160407.html?s_z=n_C18185764%2520,$0.27,2,$170.68
,C164106 Voltage Regulator,https://www.lcsc.com/product-detail/C164106.html?s_z=n_C18185764%2520,$0.27,5,$172.05
,C318884 Push Button,https://www.lcsc.com/product-detail/C318884.html?s_z=n_C18185764%2520,$0.08,4,$172.37
,C18185764  Capacitor,https://www.lcsc.com/product-detail/C18185764.html?s_z=n_C18185764%2520,$0.01,20,$172.56
,C1850418 ICM-42688-P,https://www.lcsc.com/product-detail/C1805418.html?s_z=n_C18185764%2520,$8.64,2,$189.84
,C25804 Resistor,https://www.lcsc.com/product-detail/C25804.html?s_z=n_C18185764%2520,$0.00,2,$189.84
,C21190 Resistor,https://www.lcsc.com/product-detail/C21190.html?s_z=n_C18185764%2520,$0.00,2,$189.85
,C309478 Capacitor,https://www.lcsc.com/product-detail/C309478.html?s_z=n_C18185764%2520,0.0193,20,$190.23
,C15742 STM32F405RGT6,https://www.lcsc.com/product-detail/C15742.html?s_z=n_C18185764%2520,3.1338,2,$196.50
,"PCB, shipping, coupons, manufacturing, assembly, ",,45.79,1,$242.29
