Name,Link,Cost,Amount,Total
"
Hex Brass Male Female Motherboard Standoff Copper Mount M2 M2",https://www.aliexpress.com/item/3256805275813321.html?spm=a2g0o.cart.0.0.530438daB4V9K1&mp=1&pdp_npi=6%40dis%21USD%21USD%203.09%21USD%202.91%21%21USD%202.82%21%21%21%402103129f17676410532793187e7a61%2112000033210732949%21ct%21US%216035033871%21%211%210%21,3.28,1,
"
Hex Brass Male Female Motherboard Standoff Copper Mount M2 M2.5 M3 M4 Board Rack Stud Threaded Pillar PCB Column Spacer Screw
",https://www.aliexpress.com/item/3256805275813321.html?spm=a2g0o.cart.0.0.530438daB4V9K1&mp=1&pdp_npi=6%40dis%21USD%21USD%203.48%21USD%203.28%21%21USD%203.18%21%21%21%402103129f17676410532793187e7a61%2112000033210732956%21ct%21US%216035033871%21%211%210%21,2.91,1,
"
8/10/12/14/16/18/20/22/24/26/28/30awg super soft flexible factory m",https://www.aliexpress.com/item/3256808339321290.html?spm=a2g0o.cart.0.0.530438daB4V9K1&mp=1&pdp_npi=6%40dis%21USD%21USD%2013.56%21USD%206.51%21%21USD%206.45%21%21%21%402103129f17676410532793187e7a61%2112000045583228968%21ct%21US%216035033871%21%211%210%21,6.51,1,
"
ZONSANTA M1.6 M2 M2.5 M3 M4 M5 M6 DIN7985 GB818",https://www.aliexpress.com/item/2255800784679048.html?spm=a2g0o.cart.0.0.530438daB4V9K1&mp=1&pdp_npi=6%40dis%21USD%21USD%202.51%21USD%201.99%21%21USD%201.95%21%21%21%402103129f17676410532793187e7a61%2110000013100836016%21ct%21US%216035033871%21%211%210%21,1.99,1,
"
5/ 10/ 20/ 50pcs M1 M1.2 M1.4 M1.6 M2 M2.5 M3 M3.5 M4 M5 M6",https://www.aliexpress.com/item/2255800784679048.html?spm=a2g0o.cart.0.0.530438daB4V9K1&mp=1&pdp_npi=6%40dis%21USD%21USD%202.51%21USD%201.99%21%21USD%201.95%21%21%21%402103129f17676410532793187e7a61%2110000013100836016%21ct%21US%216035033871%21%211%210%21,2.5,1,
"
1/2pcs Zeee 3S 5200mAh Lipo Battery 11.1V 80C with T/XT60/EC3/5",https://www.aliexpress.com/item/3256809945349344.html?spm=a2g0o.cart.0.0.530438daB4V9K1&mp=1&pdp_npi=6%40dis%21USD%21USD%2054.06%21USD%2022.22%21%21USD%2022.22%21%21%21%402103129f17676410532793187e7a61%2112000051251431231%21ct%21US%216035033871%21%211%210%21,25,1,
"
QWinOut A2212 2200KV Brushless Outrunner Motor with Mounts 6T for DIY RC Aircraft Plane Multi-Copter Quadcopter Drone (4 Pcs)QWinOut A2212 2200KV Brushless Outrunner Motor with Mounts 6T for DIY RC Aircraft Plane Multi-Copter Quadcopter Drone (4 Pcs)",https://www.amazon.com/gp/product/B07SGPVHTF/ref=ox_sc_act_title_1?smid=A3BO1Y2JPVIMK4&psc=1,35.88,1,
SEQURE 65A 4in1 ESC 2-6S Electric Speed Controller 30.5x30.5mm for FPV Racing Drones Freestyle - AM32,https://www.amazon.com/gp/product/B0FB8BVRG2/ref=ox_sc_act_title_2?smid=A7A74MADTQWMI&psc=1,39.99,1,
PCB manufacturing,,62.75,1,
PLA 500g,,7,,
,,,,
,,,,$USD 187.81
